date, time, event_title, link
Mar 2 2018, 7:00 PM, New York Islanders vs. Montreal Canadiens, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-montreal-canadiens-2018-03-02
Feb 26 2018, 7:30 PM, Brooklyn Nets vs. Chicago Bulls, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-chicago-bulls-2018-02-26
Feb 25 2018, 12:00 PM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 24 2018, 11:00 AM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 23 2018, 11:00 AM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 22 2018, 7:00 PM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 19 2018, 1:00 PM, New York Islanders vs. Minnesota Wild, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-minnesota-wild-2018-02-19
Feb 17 2018, 8:00 PM, Ladies Night R&B Super Jam, https://www.barclayscenter.com/events/detail/ladies-night-rb-super-jam-2018
Feb 16 2018, 8:00 PM, Katt Williams, https://www.barclayscenter.com/events/detail/katt-williams-2018
Feb 15 2018, 7:00 PM, New York Islanders vs. New York Rangers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-york-rangers-2018-02-15
Feb 14 2018, 7:30 PM, Brooklyn Nets vs. Indiana Pacers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-indiana-pacers-2018-02-14
Feb 13 2018, 7:00 PM, New York Islanders vs. Columbus Blue Jackets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-columbus-blue-jackets-2018-02-13
Feb 12 2018, 7:30 PM, Brooklyn Nets vs. Los Angeles Clippers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-clippers-2018-02-12
Feb 11 2018, 7:00 PM, New York Islanders vs. Calgary Flames, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-calgary-flames-2018-02-11
Feb 10 2018, 6:00 PM, Brooklyn Nets vs. New Orleans Pelicans, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-orleans-pelicans-2018-02-10
